		Wirelength			Area	
Trial	num_shapes	Initial	Final	% change	Best	Final	 % from best	Execution Time(s)
1	19	   56806	   22006	0.61	    6352	    6602	0.04	16420.1
1	19	   64038	   24330	0.62	    6352	    6881	0.08	18723.2
2	19	   57389	   26276	0.54	    6352	    6683	0.05	12520.1
2	19	   57237	   26568	0.54	    6352	    6932	0.09	18891.8
3	19	   62150	   23502	0.62	    6352	    6706	0.06	12810.2
3	19	   56341	   22401	0.60	    6352	    6578	0.04	13006.6
