		Wirelength			Area	
Trial	num_shapes	Initial	Final	% change	Best	Final	 % from best	Execution Time(s)
1	19	  286490	   75297	0.74	    6399	    7011	0.10	56601.9
2	19	  289783	   74872	0.74	    6399	    6793	0.06	49756.3
1	19	  279614	   69560	0.75	    6399	    6970	0.09	99922.9
2	19	  284602	   71829	0.75	    6399	    7090	0.11	52117.4
3	19	  291057	   73381	0.75	    6399	    6963	0.09	75547.6
3	19	  285403	   73165	0.74	    6399	    7188	0.12	59913.0
