		Wirelength			Area	
Trial	num_shapes	Initial	Final	% change	Best	Final	 % from best	Execution Time(s)
1	19	  186578	   55777	0.70	    6342	    6876	0.08	26167.9
1	19	  184324	   56934	0.69	    6342	    6695	0.06	33272.0
2	19	  169478	   57529	0.66	    6342	    6803	0.07	29072.1
2	19	  178934	   56883	0.68	    6342	    6879	0.08	42378.0
3	19	  186457	   54706	0.71	    6342	    6987	0.10	35050.4
3	19	  179888	   56356	0.69	    6342	    6843	0.08	35038.3
